site_no,sample_date,sample_time,Aquifer Code,Aquifer Type,Latitude,Longititude,Well Depth,Sampling Depth,Temperature,Electrical conductivity,Carbonate alkalinity,TDS,pH,O2(aq),N2(aq),NH4+,NO2-,NO3-,HPO4--,HS-,Ca++,Mg++,Na+,K+,Cl-,SO4--,F-,SiO2(aq),Fe++,Mn++,Al+++,CH4(aq),Lead,Arsenic,Akermanite,Al2(SO4)3,Al2(SO4)3^6H2O,Alabandite,Albite,Albite high,Albite low,Alunite,Amesite-14A,Amrph^silica,Analc-dehydr,Analcime,Andalusite,Andradite,Anhydrite,Annite,Anorthite,Antarcticite,Anthophyllite,Antigorite,Aragonite,Arcanite,Artinite,Bassanite,Beidellit-Ca,Beidellit-H,Beidellit-K,Beidellit-Mg,Beidellit-Na,Berlinite,Birnessite,Bischofite,Bixbyite,Bloedite,Boehmite,Brucite,Burkeite,Ca(OH)2(c),Ca-Al Pyroxene,Ca2Cl2(OH)2^H2O,Ca2Si3O8^5/2H2O,Ca2SiO4(gamma),Ca2SiO4^7/6H2O,Ca3Si2O7^3H2O,Ca3SiO5,Ca4Cl2(OH)6^13H2O,Ca4Si3O10^3/2H2O,Ca5Si6O17^11/2H2O,Ca5Si6O17^21/2H2O,Ca5Si6O17^3H2O,Ca6Si6O18^H2O,CaCl2^2H2O,CaCl2^4H2O,CaCl2^H2O,CaHPO4^2H2O,Calcite,Carnallite,CaSi2O5^2H2O,CaSO4^1/2H2O(beta),Chalcedony,Chamosite-7A,Chloromagnesite,Chrysotile,Clinochl-14A,Clinochl-7A,Clinoptil-Ca,Clinoptil-K,Clinoptil-Mg,Clinoptil-Na,Clinozoisite,Cordier^anhy,Cordier^hydr,Corundum,Cristobalite,Cronstedt-7A,Daphnite-14A,Daphnite-7A,Dawsonite,Diaspore,Diopside,Dolomite,Dolomite-dis,Dolomite-ord,Enstatite,Epidote,Epidote-ord,Epsomite,Fayalite,Fe(OH)2(ppd),Fe(OH)3(ppd),Fe2(SO4)3(c),FeF2(c),FeF3(c),FeO(c),Ferrite-2-Ca,Ferrite-Ca,Ferrite-Mg,Ferrosilite,FeSO4(c),Fluorapatite,Fluorite,Forsterite,Gaylussite,Gehlenite,Gibbsite,Goethite,Graphite,Greenalite,Grossular,Gypsum,Halite,Hausmannite,Hedenbergite,Hematite,Hercynite,Heulandite,Hexahydrite,Huntite,Hydromagnesite,Hydrophilite,Hydroxyapatite,Illite,Jadeite,Jarosite-K,Jarosite-Na,K-feldspar,K2CO3^3/2H2O,K8H4(CO3)6^3H2O,Kainite,Kalicinite,Kalsilite,Kaolinite,Kieserite,KMgCl3,KMgCl3^2H2O,KNaCO3^6H2O,Kyanite,Larnite,Laumontite,Lawrencite,Lawsonite,Leonhardtite,Lime,Magnesite,Magnetite,Manganite,Manganosite,Margarite,Maximum Microcline,Melanterite,Mercallite,Merwinite,Mg2Cl(OH)3^4H2O,MgCl2^2H2O,MgCl2^4H2O,MgCl2^H2O,MgF2(c),MgOHCl,MgSO4(c),MHSH(Mg1.5),Minnesotaite,Mirabilite,Misenite,Mn(OH)2(am),Mn(OH)3(c),Mn3(PO4)2(c),MnCl2^2H2O,MnCl2^4H2O,MnCl2^H2O,MnHPO4(c),MnSO4(c),Molysite,Monohydrocalcite,Monticellite,Mordenite-K,Mordenite-Na,Muscovite,Na2Si2O5,Na2SiO3,Na3H(SO4)2,Na4SiO4,Na6Si2O7,NaFeO2(c),Nepheline,Nesquehonite,Nontronit-Ca,Nontronit-K,Nontronit-Mg,Nontronit-Na,O-phth acid(c),Paragonite,Pargasite,Pentahydrite,Phengite,Phlogopite,Pirssonite,Portlandite,Prehnite,Pseudowollastonite,Pyrite,Pyrolusite,Pyrophyllite,Pyrrhotite,Quartz,Rankinite,Rhodochrosite,Rhodonite,Ripidolit-14A,Ripidolit-7A,Sanidine high,Saponite-Ca,Saponite-H,Saponite-K,Saponite-Mg,Saponite-Na,Scacchite,Sepiolite,Siderite,Sillimanite,Smectite-high-Fe-Mg,Smectite-low-Fe-Mg,Smectite-Reykjanes,Spinel,Strengite,Sulfur-Rhmb,Sylvite,Tachyhydrite,Talc,Tephroite,Thenardite,Todorokite,Tremolite,Tridymite,Troilite,Vivianite,Wairakite,Whitlockite,Wollastonite,Wustite,Zoisite
3.93E+14,3/22/1991,14:10,344NIAG,Niagara Dolomite,39.5139504,-83.7404792,58,,12.5,725,,,6.9,0.2,,0.33,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.93E+14,7/31/1991,16:30,344NIAG,Niagara Dolomite,39.5139504,-83.7404792,58,,12.5,685,,,7.2,0.9,,0.33,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.93E+14,8/19/1992,16:45,344NIAG,Niagara Dolomite,39.5139504,-83.7404792,58,,13,699,,,7,0.1,,0.33,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.94E+14,5/4/1982,11:10,357BFLD,Brassfield Limestone,39.68062475,-81.9784728,4335,,17,,,,5.4,,,,,,,,38000,5400,84000,2000,240000,,,5.7,260000,46000,1000,,,,-26.45,,,,1.709,0.3364,1.709,,-11.31,-0.8687,-3.817,0.9915,-0.8371,,,-6.773,-6.123,-4.736,-36.13,-95.79,,,,,4.818,4.288,4.914,4.799,5.189,,,-5.4,,,0.04199,-7.962,,-14.05,-12.13,-18.02,-16.49,-23.84,-23.21,-41.64,-52.19,-42.06,-40.84,-43.62,-41.72,-47.43,-61.82,-8.78,-5.5,-8.906,,,-6.099,-8.286,,0.2051,-4.308,-23.29,-12.86,-16.87,-20.31,1.824,6.497,-2.819,3.004,-7.938,-16.02,-13.5,-2.157,-0.08527,,-10.72,-14.17,,0.9292,-10.69,,,,-6.481,,,,-9.387,-6.292,,,,,-4.776,,,,-4.333,,,,-14.69,,-23.73,1.746,,,-9.706,-17.07,,-0.5509,,-11.14,,-3.528,0.4617,,,,-12.58,,4.693,-0.3982,,,2.95,,,,,-1.283,4.94,,-23.49,-16,,-0.5411,-25.35,-0.1705,-11.99,-1.565,,-24.43,,,,-12.63,-1.791,2.952,,,-40.99,-13.35,-13.94,-8.369,-17.38,,-12.37,,,-8.029,,,-9.953,,,-7.955,-6.669,-9.535,,,,,-16.11,3.295,1.546,7.911,-14.15,-14.74,,-48.47,-76.53,,-2.381,,,,,,,5.751,-38.3,,0.1734,-9.429,,-14.05,-6.891,-8.871,,,4.247,,0.4839,-33.16,,-7.855,-14.11,-17.55,1.698,-9.26,-9.787,-9.164,-9.278,-8.889,-12.84,-17.89,,-1.212,,,,-10.71,,,-1.761,-19.81,-9.836,-15.79,,,-29.35,0.3105,,,-4.748,,-8.461,,-7.985
3.94E+14,3/22/1991,12:30,344NIAG,Niagara Dolomite,39.700616,-83.7363126,61,,13.2,660,,,6,,,0.01,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.94E+14,8/1/1991,18:25,344NIAG,Niagara Dolomite,39.700616,-83.7363126,61,,13,720,,,7.3,1.4,,0.02,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.95E+14,5/19/1998,11:34,355LCKP,Lockport Dolomite,39.78699424,-84.7596794,161,,12.5,572,310,344,7.1,0.1,,,,,,,68.8,25.5,19.4,1.28,1.49,10.8,1.46,15.1,1350,56.3,,,100,,-21.08,,,,,,,,,-0.7511,,,,3.382,-3.003,,,-15.86,-23.09,-51.28,-0.1702,-11.36,-8.202,-3.636,,,,,,,-73.57,-16.64,-12.56,-15.54,,-6.252,-31.21,-12.32,,-27.55,-12.35,-20.32,-19.59,-36.15,-47.24,-46.72,-33.42,-33.61,-31.33,-37.66,-50.57,-20.23,-16.76,-20.42,,-0.003901,-25.33,-6.08,-3.82,0.3565,,-35.21,-7.319,,,,,,,,,,,0.05998,12.12,,,,,-6.926,0.6234,-1.016,0.6234,-4.673,,,-5.47,-5.726,-4.485,2.309,-42.19,-11.43,-6.771,-3.027,-22.32,3.291,3.411,-2.419,-12.53,,-0.1838,-11.25,-9.851,,,6.839,,-3.915,,-2.701,-9.096,-16.27,-7.314,14.6,,,-5.798,-5.077,-15.96,-24.22,,,,-3.37,-4.402,,-17.35,-61.2,-16.27,-6.672,,,-7.621,-43.39,-35.66,-12.05,,-21.86,,-23.67,,-6.676,-22.94,-1.081,12.73,-6.4,-10.8,,,-6.874,-14.1,-33.97,-16.07,-25.58,-19.78,-29.15,-3.444,-17.43,-13.05,-11.93,-1.988,-8.769,-94.91,-8.031,-13.34,,-19.26,-17.82,-20.93,,-13.53,-41.37,-0.9743,-12.58,,,,-17.83,-18.57,-23.51,-56.58,-88.72,-9.343,,-4.165,,,,,-318.3,,,-6.122,,,-10.49,-12.32,,-6.993,,-11.43,,,0.6397,-27.77,-1.249,-5.821,,,,,,,,,-24.34,-9.722,-0.3213,,,,,,,,-9.767,-53.86,-4.023,-11.87,-10.2,-59.96,-15.97,0.4618,,,,,-6.572,-4.723,
3.95E+14,3/26/1991,19:15,355LCKP,Lockport Dolomite,39.8294956,-84.61050889,100,,12,620,,,6.7,0.1,,0.07,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.95E+14,8/2/1991,10:20,355LCKP,Lockport Dolomite,39.8294956,-84.61050889,100,,12.5,630,,,7.2,1,,0.09,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3.95E+14,5/20/1998,9:46,355LCKP,Lockport Dolomite,39.83060837,-84.4791163,53,,13.1,766,412,455,6.9,0.1,,,,,,,86.9,49.3,12.6,1.98,5.14,29.6,1.39,17.1,1210,16.9,,,100,,-21.67,,,,,,,,,-0.7028,,,,2.452,-2.545,,,-14.74,-23.47,-53.15,-0.1806,-10.62,-8.125,-3.177,,,,,,,-75.51,-15.32,-13.51,-14.9,,-6.353,-31.73,-12.61,,-26.73,-12.82,-20.85,-20.13,-36.93,-48.02,-46.59,-34.46,-34.84,-32.58,-38.87,-52.06,-19.09,-15.63,-19.28,,-0.01433,-23.31,-6.296,-3.361,0.4001,,-33.83,-7.556,,,,,,,,,,,0.1045,10.97,,,,,-7.242,0.7966,-0.8377,0.7966,-4.73,,,-4.83,-6.696,-4.993,2.236,-39.95,-11.64,-6.396,-3.533,-23.01,2.85,3.167,-2.884,-12.25,,-0.2095,-11.4,-10.39,,,6.759,,-5.366,,-2.249,-8.764,-18.14,-8.032,14.44,,,-5.154,-4.52,-15.31,-23.07,,,,-2.052,-3.536,,-17.09,-59.57,-14.91,-6.397,,,-6.959,-41.32,-33.6,-12.2,,-22.39,,-22.72,,-6.025,-23.2,-0.8932,12.06,-6.881,-11.72,,,-6.634,-13.35,-34.85,-15.6,-24.24,-18.45,-27.79,-3.266,-16.8,-12.37,-11.31,-3.351,-8.801,-89.68,-8.952,-13.8,,-18.75,-17.32,-20.41,,-13.67,-39.23,-0.9856,-12.93,,,,-18.49,-19.27,-23.16,-57.99,-90.8,-9.779,,-3.97,,,,,OGS,,,-5.479,,,-11,-12.61,,-7.241,,-11.44,,,0.6827,-28.55,-1.885,-6.699,,,,,,,,,-23.82,-9.903,-0.5362,,,,,,,,-9.063,-50.08,-4.175,-13.67,-10.21,-61.9,-16.76,0.5054,,,,,-6.822,-5.151,
